Time_Stamp,Year,Month,Response_ID,Hunger_Experience,Moving_Times,Self_Confidence,Hometown,Age,Parental_Income,Race_Ethnicity,School_Year,Transfer_Student,College,Gender_Identity,Sex,Living_Location,
4/14/2021 19:43,2021,April,1,No,1,Agree slightly,"Coconut Grove, Florida 33133",20,"More than $750,000",White (of European descent),2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
4/15/2021 11:30,2021,April,2,No,1,Agree slightly,"Brooklyn, New York 11225",20,"Below $40,000",Black,3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
4/15/2021 13:00,2021,April,3,No,5,Agree somewhat,"Roslyn Heights, New York 11577",21,"More than $750,000",Asian,3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
4/15/2021 14:01,2021,April,4,No,1,Agree slightly,"Rye Brook, New York 10573",19,"More than $750,000",White (of European descent),2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/15/2021 14:31,2021,April,5,No,0,Agree somewhat,"San Antonio, Texas 78218",21,"$100,000 - $174,999","White (of European descent),Hispanic",4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
4/15/2021 14:30,2021,April,6,No,2,Agree strongly,Shanghai (China) 200127,18,"$175,000 - $299,999",Asian,1st year undergraduate,No,College of Engineering,Woman,Female,Off campus,
4/15/2021 15:18,2021,April,7,No,0,Agree slightly,"New York, New York 10075",21,"$100,000 - $174,999",White (of European descent),4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
4/15/2021 15:25,2021,April,8,Don't know,0,Don't know / not applicable,cupertino,20,"More than $750,000",Asian,3rd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
4/15/2021 15:42,2021,April,9,No,5,Agree slightly,"Santa Rosa, California, 95405",22,"$175,000 - $299,999",Asian,4th year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,Off campus,
4/15/2021 17:34,2021,April,10,No,2,Don't know / not applicable,"Atlanta, Georgia 30327",21,"More than $750,000",White (of European descent),3rd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
4/15/2021 18:02,2021,April,11,No,3,Agree somewhat,"Long Island, NY",23,"$300,000 - $499,999",Asian,4th year undergraduate,No,College of Agriculture and Life Sciences,Man,Male,Off campus,
4/15/2021 20:43,2021,April,12,No,1,Agree slightly,"La Jolla, CA 92037",20,"$500,000 - $749,999","American Indian or Alaskan Native,White (of European descent)",3rd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
4/16/2021 10:49,2021,April,13,No,0,Agree somewhat,"Cambridge, MA 02139",21,"$40,000 - $59,999",Middle Eastern,4th year undergraduate,Yes,College of Arts and Sciences,Woman,Female,Off campus,
4/16/2021 10:58,2021,April,14,No,1,Disagree slightly,"Horseheads, NY 14845",19,"$100,000 - $174,999","White (of European descent),Black",1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/16/2021 17:52,2021,April,15,No,2,Agree slightly,No,19,"$40,000 - $59,999",White (of European descent),2nd year undergraduate,No,School of Industrial and Labor Relations,Man,Male,On campus,
4/17/2021 14:10,2021,April,16,No,0,Agree strongly,"Hampton, NH 03842",20,"$100,000 - $174,999",White (of European descent),3rd year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
4/18/2021 18:41,2021,April,17,No,3,Disagree slightly,"Tambo, Paranaque City, Manila, Philippines",22,"$40,000 - $59,999",Asian,4th year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
4/19/2021 14:53,2021,April,18,No,3,Agree somewhat,"New York, NY, 10021",20,"More than $750,000","White (of European descent),Hispanic",2nd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
4/19/2021 20:37,2021,April,19,No,1,Agree slightly,"Roslyn, NY 11577",19,"$300,000 - $499,999",White (of European descent),2nd year undergraduate,No,College of Engineering,Woman,Female,On campus,
4/20/2021 18:04,2021,April,20,No,1,Agree slightly,"Brentwood, California 94513",21,"$175,000 - $299,999",White (of European descent),3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
4/20/2021 19:33,2021,April,21,Yes,0,Agree slightly,"North Miami, FL 33181",22,"$40,000 - $59,999","Asian,Pacific Islander",4th year undergraduate,No,SC Johnson College of Business,Woman,Female,Off campus,
4/21/2021 9:47,2021,April,22,No,1,Agree slightly,"Duxbury, MA 02332",22,"More than $750,000",White (of European descent),4th year undergraduate,No,SC Johnson College of Business,Woman,Female,Off campus,
4/21/2021 14:57,2021,April,23,No,7,Agree slightly,"Honolulu, HI 96821",22,"Below $40,000",Middle Eastern,4th year undergraduate,No,School of Industrial and Labor Relations,Man,Male,Off campus,
4/22/2021 11:36,2021,April,24,No,3,Agree slightly,"Lexington, MA 02420",21,"$300,000 - $499,999",Asian,4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
4/15/2021 12:09,2021,April,25,,,,,,,,,,,,,,
4/22/2021 14:16,2021,April,26,No,1,Don't know / not applicable,"Horseheads, New York 14845",19,"$100,000 - $174,999","White (of European descent),Black",1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/15/2021 15:53,2021,April,27,,,,,,,,,,,,,,
4/15/2021 15:56,2021,April,28,,,,,,,,,,,,,,
4/22/2021 18:25,2021,April,29,No,2,Don't know / not applicable,"buenos aires, argentina",20,"$100,000 - $174,999",Hispanic,2nd year undergraduate,No,SC Johnson College of Business,Woman,Female,On campus,
4/22/2021 23:45,2021,April,30,No,0,Agree strongly,"Sinamangal, Kathmandu",19,"Below $40,000",Asian,1st year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
4/23/2021 10:09,2021,April,31,No,5,Agree slightly,"Elmhurst, New York 11373",19,"Below $40,000",Asian,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
4/23/2021 12:32,2021,April,32,No,2,Agree slightly,Korea,24,"More than $750,000",Asian,3rd year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
4/23/2021 12:45,2021,April,33,No,0,Agree slightly,"Melville, New York 11747",19,"$500,000 - $749,999",White (of European descent),2nd year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,Off campus,
4/23/2021 16:09,2021,April,34,No,0,Agree slightly,"Somerset, NJ, 08873",20,"$175,000 - $299,999",White (of European descent),3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
4/24/2021 12:54,2021,April,35,No,0,Agree slightly,"New York, NY 10024",19,"$300,000 - $499,999",White (of European descent),2nd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
4/24/2021 13:26,2021,April,36,No,2,Don't know / not applicable,"Katy, Texas 77494",19,"$60,000 - $99,999",Hispanic,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
4/24/2021 13:37,2021,April,37,No,0,Agree slightly,"pine island, new york, 10969",20,"$300,000 - $499,999",Middle Eastern,2nd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
4/22/2021 22:47,2021,April,38,No,3,Agree somewhat,"snow hill, Maryland 21863",20,"$100,000 - $174,999",Asian,2nd year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
4/25/2021 9:46,2021,April,39,No,2,Agree slightly,"Arlington Heights, IL 60004",20,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/25/2021 11:31,2021,April,40,No,1,Disagree slightly,"Bedford, New Hampshire 03110",21,"$175,000 - $299,999",White (of European descent),3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
4/25/2021 11:56,2021,April,41,No,4,Agree somewhat,20171,19,"$100,000 - $174,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/25/2021 13:03,2021,April,42,No,0,Don't know / not applicable,"St. George, Utah 84790",18,"$100,000 - $174,999",White (of European descent),1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/25/2021 15:56,2021,April,43,No,2,Don't know / not applicable,"Buffalo, NY",22,"$60,000 - $99,999",Unknown,4th year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/18/2021 19:06,2021,April,44,,,,,,,,,,,,,,
4/26/2021 7:30,2021,April,45,No,1,Agree strongly,"Flushing, New York 11354",20,"$100,000 - $174,999",Asian,3rd year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
4/26/2021 12:06,2021,April,46,Yes,0,Agree somewhat,"Elmont, New York 11003",21,"$60,000 - $99,999",Black,4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
4/26/2021 12:18,2021,April,47,No,0,Agree slightly,"Mount Kisco, New York 10549",20,"$300,000 - $499,999",White (of European descent),2nd year undergraduate,No,College of Human Ecology,Man,Male,On campus,
4/26/2021 13:45,2021,April,48,No,1,Agree slightly,"Greenlawn, New York 11740",21,"$175,000 - $299,999",White (of European descent),4th year undergraduate,No,College of Engineering,Woman,Female,Off campus,
4/26/2021 14:05,2021,April,49,No,2,Agree somewhat,"San Diego, CA 92129",18,"$300,000 - $499,999",Asian,1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
4/26/2021 18:15,2021,April,50,No,0,Agree slightly,"Briarcliff Manor, NY, 10510",22,"More than $750,000",White (of European descent),4th year undergraduate,No,SC Johnson College of Business,Woman,Female,Off campus,
4/26/2021 20:06,2021,April,51,Don't know,1,Agree somewhat,"Melville, NY 11747",18,"$100,000 - $174,999",White (of European descent),1st year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,On campus,
4/27/2021 10:08,2021,April,52,No,2,Agree slightly,"Rochester, New York, 14618",20,"$60,000 - $99,999","White (of European descent),Asian,Pacific Islander,Mixed Race",2nd year undergraduate,No,College of Engineering,Man,Male,On campus,
4/27/2021 10:46,2021,April,53,No,2,Agree slightly,"Glen Mills, PA, 19342",18,"$500,000 - $749,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
4/27/2021 11:12,2021,April,54,No,1,Agree slightly,"Taipei, Taiwan",20,"$175,000 - $299,999",Asian,2nd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
4/27/2021 16:38,2021,April,55,No,1,Agree slightly,"Glen Oaks, New York 11004",19,"$175,000 - $299,999",Asian,2nd year undergraduate,No,College of Engineering,Man,Male,On campus,
4/27/2021 19:51,2021,April,56,No,3,Agree somewhat,"Frisco, Texas 75034",18,"$40,000 - $59,999",White (of European descent),1st year undergraduate,No,College of Engineering,Woman,Female,On campus,
4/20/2021 20:19,2021,April,57,,,,,,,,,,,,,,
4/28/2021 14:01,2021,April,58,No,0,Don't know / not applicable,"Downers Grove, Illinois, 60515",21,"$175,000 - $299,999",White (of European descent),4th year undergraduate,No,School of Industrial and Labor Relations,Man,Male,Off campus,
4/28/2021 18:36,2021,April,59,Yes,1,Agree slightly,Northport NY 11768,21,"$100,000 - $174,999",White (of European descent),4th year undergraduate,Yes,School of Industrial and Labor Relations,Woman,Female,Off campus,
4/28/2021 20:45,2021,April,60,No,1,Agree slightly,"Chicago, Illinois 60659",20,"$60,000 - $99,999",Asian,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
4/28/2021 21:04,2021,April,61,No,1,Agree slightly,"Paoli, PA 19301",21,"$40,000 - $59,999",Asian,3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
4/29/2021 8:01,2021,April,62,Yes,1,Agree slightly,"Scarsdale, NY 10583",18,"More than $750,000","White (of European descent),Unknown",1st year undergraduate,No,College of Human Ecology,Man,Male,On campus,
4/29/2021 8:19,2021,April,63,No,1,Agree somewhat,"Rockaway, NJ ",21,"$300,000 - $499,999","White (of European descent),Middle Eastern",3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
4/29/2021 18:21,2021,April,64,No,0,Disagree slightly,"Webster,NY,14580",19,"$100,000 - $174,999",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
4/29/2021 22:01,2021,April,65,No,3,Agree slightly,"Coos Bay, OR 97420",19,"$60,000 - $99,999","American Indian or Alaskan Native,White (of European descent),Asian,Pacific Islander",1st year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
4/30/2021 8:14,2021,April,66,No,8,Disagree strongly,Great Neck NY 11024,18,"More than $750,000",Asian,1st year undergraduate,No,College of Engineering,Woman,Female,Off campus,
4/30/2021 12:12,2021,April,67,No,2,Agree slightly,"McAllen, Texas 78504",20,"$60,000 - $99,999",Hispanic,3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
4/30/2021 21:13,2021,April,68,No,4,Agree slightly,"Fontana, California 92336",21,"$60,000 - $99,999",Black,3rd year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
4/30/2021 21:17,2021,April,69,No,2,Don't know / not applicable,"Richmond, TX 77406",21,"$300,000 - $499,999",Black,4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/1/2021 0:00,2021,April,70,No,1,Agree somewhat,"Upper Marlboro, MD 20771",18,"$175,000 - $299,999",Black,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
4/24/2021 11:42,2021,April,71,,,,,,,,,,,,,,
5/1/2021 12:55,2021,May,72,No,0,Don't know / not applicable,"Bronx, New York City 10468",21,"$40,000 - $59,999",Hispanic,4th year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/1/2021 13:02,2021,May,73,No,0,Agree strongly,"Rhinebeck, NY, 12572",20,"$100,000 - $174,999","White (of European descent),Hispanic",3rd year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/1/2021 14:12,2021,May,74,No,1,Agree slightly,"Ridgewood, New Jersey, 07450",19,"More than $750,000",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/1/2021 19:37,2021,May,75,No,2,Agree strongly,"Aliso Viejo, CA 92656",20,"$100,000 - $174,999",Asian,2nd year undergraduate,No,College of Human Ecology,Man,Male,On campus,
5/2/2021 11:31,2021,May,76,No,0,Agree slightly,"Atlanta, GA 30342",22,"More than $750,000",White (of European descent),4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/2/2021 11:59,2021,May,77,No,1,Agree slightly,"Hayward, CA 94544",22,"$175,000 - $299,999",Asian,4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/2/2021 13:41,2021,May,78,Yes,1,Disagree slightly,"Massapequa, 11758",18,"$60,000 - $99,999",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/2/2021 13:54,2021,May,79,No,1,Agree slightly,"Manhasset, New York, 11030",19,"Below $40,000",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/2/2021 14:09,2021,May,80,No,8,Don't know / not applicable,GA,21,"Below $40,000","Black,Hispanic",4th year undergraduate,No,College of Agriculture and Life Sciences,Man,Male,Off campus,
5/2/2021 14:41,2021,May,81,No,0,Agree slightly,Jamaica Queens 11435,19,"$60,000 - $99,999","Asian,Middle Eastern",2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/2/2021 13:39,2021,May,82,No,1,Don't know / not applicable,"Brooklyn, NY 11209",21,"$175,000 - $299,999",White (of European descent),4th year undergraduate,No,College of Engineering,Woman,Female,Off campus,
